Departure Date,Exporter Licence Holder(s),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Buffalo Load,Buffalo Loss,Buffalo Pct
Aug-15,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Darwin/Fremantle,Tanjung Priok,13,Aug-15,6874,1,0.000145476,,,,,,
Aug-15,Frontier International Agri,Adelaide,Xiamen,17,Aug-15,3200,4,0.00125,,,,,,
Aug-15,Wellard Rural Exports Pty Ltd,Portland,Dalian,18,Aug-15,2461,2,0.000812678,,,,,,
Aug-15,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,21,Aug-15,,,,71677,1253,0.0174812,,,
Aug-15,International Livestock Export Pty Ltd,Darwin,Tanjung Priok,7,Aug-15,2905,0,0,,,,,,
Aug-15,Australian Rural Exports Pty Ltd,Broome,Qui Nhon,8,Aug-15,3999,2,0.000500125,,,,,,
Aug-15,Vicstock Pty Limited,Portland,Tianjin,19,Sep-15,6057,3,0.000495295,,,,,,
Aug-15,North Australian Cattle Company Pty Ltd,Darwin,Thi Vai,11,Aug-15,2594,0,0,,,,,,
Aug-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,11,Aug-15,2090,3,0.001435407,,,,,,
Aug-15,South East Asian Livestock Services Pty Ltd,Darwin,Bangkok,10,Aug-15,1599,0,0,,,,,,
Aug-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta/Klang,10,Aug-15,2622,1,0.000381388,,,,,,
Aug-15,Australian Rural Exports Pty Ltd,Darwin,Subic Bay,7,Aug-15,2190,6,0.002739726,,,,,,
Aug-15,International Livestock Export Pty Ltd,Broome,Klang/Panjang,10,Aug-15,2760,4,0.001449275,,,,,,
Aug-15,Total Livestock Genetics Pty Ltd,Portland,Tianjin,18,Sep-15,4450,2,0.000449438,,,,,,
Aug-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,8,Aug-15,2997,1,0.000333667,,,,,,
Aug-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,4,Aug-15,3603,0,0,,,,,,
Aug-15,South East Asian Livestock Services Pty Ltd,Darwin,Muara,8,Aug-15,920,2,0.002173913,,,,525,0,0
Aug-15,International Livestock Export Pty Ltd,Fremantle,Klang,11,Sep-15,81,0,0,5558,93,0.016732638,,,
Aug-15,Australian Rural Exports Pty Ltd,Darwin,Qui Nhon,9,Sep-15,4102,2,0.000487567,,,,,,
Aug-15,Frontier International Northern  Pty Ltd,Darwin,Thi Vai,10,Sep-15,2167,2,0.000922935,,,,,,
Aug-15,Phoenix Exports Pty Ltd,Geelong,Tianjin,18,Sep-15,5316,8,0.001504891,,,,,,
Aug-15,International Livestock Export Pty Ltd,Broome,Jakarta/Pasir Gudang/Port Klang,13,Sep-15,7994,0,0,,,,,,
Aug-15,Livestock Shipping Services Pty Ltd/Wellard Rural Exports Pty Ltd,Fremantle,Ad Dawhah/Khalifa/Port Sultan Qaboos,14,Sep-15,100,0,0,74806,701,0.009370906,,,
Aug-15,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Sep-15,960,2,0.002083333,,,,,,
Aug-15,Landmark Global Exports Pty Ltd,Portland,Tianjin,16,Sep-15,4020,2,0.000497512,,,,,,
Sep-15,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,21,Sep-15,,,,68012,374,0.00549903,,,
Sep-15,Elders International Australia Limited,Portland,Jingtang,18,Sep-15,3311,1,0.000302024,,,,,,
Sep-15,Wellard Rural Exports Pty Ltd,Darwin,Jakarta/Panjang/Subic Bay,14,Sep-15,4744,11,0.002318718,,,,,,
Sep-15,North Australian Cattle Company Pty Ltd,Townsville,Go Dau,12,Sep-15,2142,3,0.00140056,,,,,,
Sep-15,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,10,Sep-15,1201,0,0,,,,,,
Sep-15,Australian Rural Exports Pty Ltd/Frontier International Northern  Pty Ltd,Darwin,Jakarta/Panjang,7,Sep-15,2603,1,0.000384172,,,,,,
Sep-15,Wellard Rural Exports Pty Ltd,Darwin/Townsville,Phu Huu/Vung Ang,16,Sep-15,12793,48,0.003752052,,,,503,0,0
Sep-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,5,Sep-15,2084,5,0.002399232,,,,,,
Sep-15,Frontier International Northern  Pty Ltd,Darwin,Haiphong,12,Sep-15,2352,8,0.003401361,,,,,,
Sep-15,Australian Rural Exports Pty Ltd,Darwin,Qui Nhon,10,Sep-15,4029,3,0.000744602,,,,,,
Sep-15,Frontier International Agri,Portland,Qui Nhon,22,Oct-15,2100,5,0.002380952,,,,,,
Sep-15,Livestock Shipping Services Pty Ltd,Fremantle,Aqaba/Eilat,22,Oct-15,11459,25,0.002181691,49035,297,0.006056898,,,
Sep-15,Wellard Rural Exports Pty Ltd,Townsville,Culao/Ho Chi Minh City,16,Oct-15,4071,10,0.002456399,,,,,,
Sep-15,Australian Rural Exports Pty Ltd,Portland,Lianyungang,16,Oct-15,4176,2,0.000478927,,,,,,
Sep-15,Australian Rural Exports Pty Ltd,Geraldton,Jakarta,8,Sep-15,2081,0,0,,,,,,
Sep-15,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,12,Sep-15,1060,3,0.002830189,,,,248,0,0
Sep-15,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Bahrain/Jebel Ali/kuwait/Muscat,21,Oct-15,,,,70810,359,0.005069905,,,
Sep-15,International Livestock Export Pty Ltd,Karumba,Belawan/Klang,16,Oct-15,1794,0,0,,,,,,
Sep-15,Livestock Shipping Services Pty Ltd,Adelaide,Doha/Kuwait,27,Oct-15,,,,90732,464,0.005113962,,,
Sep-15,Australian Rural Exports Pty Ltd,Broome,Subic Bay,7,Oct-15,3107,7,0.002252977,,,,,,
Sep-15,North Australian Cattle Company Pty Ltd,Townsville,Go Dau,13,Oct-15,2100,3,0.001428571,,,,,,
Sep-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Ho Chi Minh City,8,Oct-15,2669,3,0.001124016,,,,,,
Sep-15,Wellard Rural Exports Pty Ltd,Portland,Hambantota,14,Oct-15,1317,3,0.002277904,,,,,,
Oct-15,South East Asian Livestock Services Pty Ltd,Darwin,Thi Vai,10,Oct-15,1600,5,0.003125,,,,156,0,0
Oct-15,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Oct-15,3914,0,0,,,,,,
Oct-15,Frontier International Northern  Pty Ltd,Townsville,Haiphong,13,Oct-15,2642,1,0.000378501,,,,,,
Oct-15,Otway LIvestock Exports Pty Ltd,Fremantle,Eilat,22,Oct-15,4198,5,0.001191043,9981,66,0.006612564,,,
Oct-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,7,Oct-15,3304,1,0.000302663,,,,,,
Oct-15,International Livestock Export Pty Ltd,Broome,Panjang,5,Oct-15,2769,1,0.000361141,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Darwin,Jakarta,7,Oct-15,2972,0,0,,,,,,
Oct-15,Livestock Shipping Services Pty Ltd,Fremantle,Eilat,20,Oct-15,6865,17,0.002476329,,,,,,
Oct-15,Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Panjang,12,Oct-15,18618,8,0.000429692,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,7,Oct-15,3920,0,0,,,,,,
Oct-15,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Oct-15,960,0,0,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Darwin,Belawan,8,Oct-15,3872,0,0,,,,,,
Oct-15,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,5,Oct-15,3115,4,0.001284109,,,,,,
Oct-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Oct-15,3296,0,0,,,,,,
Oct-15,International Livestock Export Pty Ltd,Darwin,Panjang,7,Oct-15,1939,0,0,,,,,,
Oct-15,Elders International Australia Limited,Portland,Tianjin,18,Nov-15,3565,1,0.000280505,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Townsville,Panjang,9,Oct-15,4214,0,0,,,,,,
Oct-15,International Livestock Export Pty Ltd,Broome,Jakarta,5,Oct-15,2972,2,0.000672948,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,8,Oct-15,2907,1,0.000343997,,,,,,
Oct-15,North Australian Cattle Company Pty Ltd,Townsville,Panjang,11,Oct-15,3050,0,0,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Townsville,Balikpapan,9,Oct-15,2078,1,0.000481232,,,,,,
Oct-15,South East Asian Livestock Services Pty Ltd,Karumba,Lahad Datu/Muara,9,Oct-15,1650,3,0.001818182,,,,,,
Oct-15,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,8,Oct-15,2073,3,0.001447178,,,,,,
Oct-15,Australian Rural Exports Pty Ltd,Darwin,Jakarta,5,Oct-15,3999,0,0,,,,,,
Oct-15,Frontier International Northern  Pty Ltd,Darwin,Panjang,5,Oct-15,3613,0,0,,,,,,
Oct-15,Wellard Rural Exports Pty Ltd,Broome,Culao/Ho Chi Minh City,17,Nov-15,4184,6,0.001434034,,,,752,2,0.002659574
Oct-15,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Jebel Ali/Kuwait/Muscat,19,Nov-15,,,,72789,256,0.003517015,,,
Oct-15,Wellard Rural Exports Pty Ltd,Darwin,Masbate/Subic Bay,9,Nov-15,3857,8,0.002074151,,,,,,
Oct-15,Halleen Australasian Livestock Traders Pty Ltd,Geraldton,Jakarta,5,Oct-15,2952,0,0,,,,,,
Oct-15,Wellard Rural Exports Pty Ltd,Broome,Jakarta/Panjang,13,Nov-15,18648,9,0.000482625,,,,,,
Oct-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Oct-15,3113,0,0,,,,,,
Oct-15,International Livestock Export Pty Ltd,Broome,Pasir Gudang,7,Nov-15,2109,4,0.001896633,,,,,,
Oct-15,Lembiru Livestock Pty Ltd/Livestock Shipping Services Pty Ltd,Fremantle,Doha/Kuwait,18,Nov-15,452,0,0,82268,305,0.003707395,,,
Nov-15,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,7,Nov-15,2900,1,0.000344828,,,,,,
Nov-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,6,Nov-15,4060,0,0,,,,,,
Nov-15,International Livestock Export Pty Ltd,Fremantle,Jakarta,8,Nov-15,1873,0,0,,,,,,
Nov-15,International Livestock Export Pty Ltd,Broome,Jakarta,4,Nov-15,4105,1,0.000243605,,,,,,
Nov-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Nov-15,2713,1,0.000368596,,,,,,
Nov-15,South East Asian Livestock Services Pty Ltd,Darwin,Cilacap,7,Nov-15,3047,1,0.000328192,,,,,,
Nov-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Nov-15,3927,0,0,,,,,,
Nov-15,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Jebel Ali/Kuwait/Muscat,23,Nov-15,,,,81261,389,0.004787044,,,
Nov-15,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Nov-15,1080,0,0,,,,,,
Nov-15,Halleen Australasian Livestock Traders Pty Ltd,Geraldton,Klang,9,Nov-15,2440,3,0.001229508,,,,,,
Nov-15,Australian Rural Exports Pty Ltd,Portland,Tangshan,18,Dec-15,4425,0,0,,,,,,
Nov-15,South East Asian Livestock Services Pty Ltd,Darwin,Cilacap/Jakarta,7,Nov-15,2011,0,0,,,,,,
Nov-15,Wellard Rural Exports Pty Ltd,Townsville,Jakarta,10,Nov-15,6000,2,0.000333333,,,,,,
Nov-15,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Nov-15,4053,2,0.000493462,,,,,,
Nov-15,South East Asian Livestock Services Pty Ltd,Karumba,Jakarta,9,Nov-15,1905,1,0.000524934,,,,,,
Nov-15,Otway LIvestock Exports Pty Ltd,Fremantle,Eilat,21,Dec-15,4430,6,0.001354402,9581,19,0.001983092,,,
Nov-15,North Australian Cattle Company Pty Ltd,Wyndham,Haiphong,11,Nov-15,2085,5,0.002398082,,,,,,
Nov-15,Landmark Operations Ltd,Portland,Novorossiysk,34,Dec-15,17152,58,0.00338153,,,,,,
Nov-15,Australian Rural Exports Pty Ltd,Townsville,Panjang,9,Nov-15,4127,0,0,,,,,,
Nov-15,International Livestock Export Pty Ltd,Fremantle,Qui Nhon,11,Nov-15,3769,2,0.000530645,,,,,,
Nov-15,Australian Rural Exports Pty Ltd,Darwin,Panjang,7,Nov-15,2841,0,0,,,,,,
Nov-15,North Australian Cattle Company Pty Ltd/Wellard Rural Exports Pty Ltd,Fremantle,Ho Chi Minh City /Vung Ang,26,Dec-15,13556,27,0.001991738,,,,,,
Nov-15,Frontier International Northern  Pty Ltd,Darwin,Jakarta,6,Nov-15,3258,0,0,,,,,,
Nov-15,International Livestock Export Pty Ltd,Fremantle,Panjang,8,Nov-15,1906,1,0.000524659,,,,,,
Nov-15,North Australian Cattle Company Pty Ltd,Townsville,Qui Nhon,12,Nov-15,2936,14,0.004768392,,,,,,
Nov-15,Australian Rural Exports Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Belawan/Panjang,11,Dec-15,3832,3,0.000782881,,,,,,
Nov-15,Vicstock Pty Limited,Portland,Tianjin,20,Dec-15,6196,8,0.001291156,,,,,,
Nov-15,Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Panjang,12,Dec-15,7228,4,0.000553403,,,,,,
Dec-15,Australasian Global Exports Pty Ltd,Portland,Tianjin,18,Dec-15,3700,1,0.00027027,,,,,,
Dec-15,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Jakarta,9,Dec-15,3000,1,0.000333333,,,,,,
Dec-15,South East Asian Livestock Services Pty Ltd,Darwin,General Santos,6,Dec-15,2050,0,0,,,,,,
Dec-15,South East Asian Livestock Services Pty Ltd,Geraldton,Jakarta,6,Dec-15,2004,0,0,,,,,,
Dec-15,Australian Rural Exports Pty Ltd,Darwin,Cilacap/Jakarta,9,Dec-15,3095,1,0.000323102,,,,,,
Dec-15,Wellard Rural Exports Pty Ltd,Fremantle,Culao,16,Dec-15,3512,5,0.00142369,,,,,,
Dec-15,International Livestock Export Pty Ltd,Fremantle,Belawan/Klang,14,Dec-15,1744,0,0,,,,,,
Dec-15,Frontier International Agri,Geelong,Huanghua,25,Dec-15,4245,8,0.00188457,,,,,,
Dec-15,Livestock Shipping Services Pty Ltd,Fremantle,Doha/Kuwait,19,Dec-15,100,0,0,74531,298,0.003998336,,,
Dec-15,Frontier International Agri,Portland,Jingtang,20,Dec-15,3125,3,0.00096,,,,,,
Dec-15,North Australian Cattle Company Pty Ltd,Geraldton,Vung Tau,9,Dec-15,2764,0,0,,,,,,
Dec-15,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,7,Dec-15,3020,0,0,,,,4,0,0
Dec-15,Australian Rural Exports Pty Ltd,Townsville,Nghi Son,13,Dec-15,3323,4,0.001203732,,,,,,
Dec-15,International Livestock Export Pty Ltd,Darwin,Jakarta,7,Dec-15,2868,3,0.001046025,,,,,,
Dec-15,South East Asian Livestock Services Pty Ltd,Darwin,Jakarta/Muara,7,Dec-15,1663,2,0.001202646,,,,,,
Dec-15,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Jakarta,11,Dec-15,2915,0,0,,,,,,
