Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Cattle Load,Cattle Loss,Cattle Pct,Buffalo Load,Buffalo Loss,Buffalo Pct,Sheep Load,Sheep Loss,Sheep Pct
Jun-16,,Wyndham,Panjang,7,Jun-16,2735,0,0,,,,,,
Jun-16,,Townsville,Jakarta,12,Jun-16,5932,0,0,,,,,,
Jun-16,,Broome,Belawan /Panjang,12,Jun-16,2850,2,0.0007,,,,,,
Jun-16,,Darwin,Sihanoukville,6,Jun-16,2766,5,0.0018,,,,,,
Jun-16,,Darwin,Jakarta,4,Jun-16,2860,1,0.0003,,,,,,
Jun-16,,Darwin,Pasir Gudang,8,Jun-16,2240,1,0.0004,,,,,,
Jun-16,,Darwin,Jakarta /Panjang,7,Jun-16,3864,1,0.0003,,,,,,
Jun-16,,Darwin,Belawan,6,Jun-16,3799,0,0,,,,,,
Jun-16,,Townsville,Haiphong,12,Jun-16,1965,5,0.0025,,,,,,
Jun-16,,Darwin,Belawan,8,Jun-16,2782,1,0.0004,,,,,,
Jun-16,,Darwin,Kumai,7,Jun-16,2036,0,0,,,,,,
Jun-16,,Darwin,Panjang,6,Jun-16,3943,1,0.0003,,,,,,
Jun-16,,Broome,Jakarta,5,Jun-16,3895,0,0,,,,,,
