Departure Date,,Exporter Licence Holder(s) b,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Aug-16,,Australian Rural Exports Pty Ltd,Darwin,Jakarta/Panjang,9,Aug-16,,,,3784,12,0.003171247,,,
Aug-16,,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Jakarta,10,Aug-16,,,,2824,,,,,
Aug-16,,Australasian Global Exports Pty Ltd,Portland,Tianjin,17,Aug-16,,,,3123,1,0.000320205,,,
Aug-16,,Frontier International Northern  Pty Ltd,Darwin,Panjang,4,Aug-16,,,,3773,1,0.000265041,,,
Aug-16,#2,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Shuwaikh/Muscat,23,Sep-16,,,,,,,63250,712,0.01128475
Aug-16,,South East Asian Livestock Services Pty Ltd,Darwin,Muara,7,Aug-16,499,,,1080,,,,,
Aug-16,,North Australian Cattle Company Pty Ltd,Darwin,Port Klang,8,Aug-16,,,,2347,3,0.001278228,,,
Aug-16,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,8,Aug-16,,,,6794,1,0.000147189,,,
Aug-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Aug-16,,,,3155,,,,,
Aug-16,,Central Pacific Livestock Pty Ltd/Emanuel Exports Pty Ltd,Adelaide/Fremantle,Kuwait/Oman,25,Sep-16,,,,,,,60112,748,0.012443439
Aug-16,,Wellard Rural Exports Pty Ltd,Townsville,Jakarta,8,Aug-16,,,,6566,3,0.000456899,,,
Aug-16,,Australian Rural Exports Pty Ltd,Wyndham,Panjang,5,Aug-16,,,,2839,,,,,
Aug-16,,International Livestock Export Pty Ltd,Broome,Belawan/Panjang,13,Aug-16,,,,3331,4,0.001200841,,,
Aug-16,,Wellard Rural Exports Pty Ltd,Townsville,Belawan,12,Sep-16,,,,3897,3,0.000769823,,,
Aug-16,,International Livestock Export Pty Ltd,Broome,Panjang,6,Aug-16,,,,3117,,,,,
Aug-16,,Wellard Rural Exports Pty Ltd,Broome,Jakarta,7,Aug-16,,,,6165,11,0.001784266,,,
Aug-16,,Wellard Rural Exports Pty Ltd,Darwin/Wyndham,Jakarta/Panjang,10,Sep-16,,,,7277,6,0.000824516,,,
Aug-16,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap/Jakarta,12,Sep-16,,,,1890,1,0.000529101,,,
Aug-16,,Frontier International Northern  Pty Ltd,Darwin,Jakarta,5,Aug-16,,,,3065,2,0.000652529,,,
Aug-16,,Australasian Global Exports Pty Ltd,Portland,Tangshan,15,Sep-16,,,,3444,1,0.00029036,,,
Aug-16,,North Australian Cattle Company Pty Ltd,Townsville,Jakarta,8,Sep-16,,,,2857,2,0.000700035,,,
Aug-16,#3,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Kuwait,20,Sep-16,,,,200,,,55169,823,0.014917798
Aug-16,,International Livestock Export Pty Ltd,Fremantle,Port Klang,15,Sep-16,,,,1110,2,0.001801802,6600,67,0.010151515
Aug-16,,Livestock Shipping Services Pty Ltd,Fremantle,Aqaba/Eilat,21,Sep-16,,,,6999,5,0.000714388,41286,441,0.010681587
42614,,Australian Rural Exports Pty Ltd,Townsville,Panjang,11,Oct-16,,,,3734,2,0.000535619,,,
Aug-16,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Townsville,Jakarta/Panjang,10,Sep-16,,,,3066,2,0.000652316,,,
Aug-16,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,7,Sep-16,,,,2000,,,,,
Sep-16,,Elders International Australia Limited,Portland,Rizhao,18,Sep-16,,,,3045,3,0.000985222,,,
Sep-16,,Australian Rural Exports Pty Ltd,Darwin,Thi Vai,13,Sep-16,770,6,0.007792208,2653,24,0.009046363,,,
Sep-16,,Frontier International Northern  Pty Ltd,Darwin,Hai Phong,9,Sep-16,,,,2260,,,,,
Sep-16,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo/Lotus Port,16,Sep-16,,,,3947,2,0.000506714,,,
Sep-16,,Australian Rural Exports Pty Ltd,Townsville,General Santos,7,Sep-16,,,,2634,,,,,
Sep-16,,Landmark Operations Pty Ltd,Portland,Qingdao,17,Oct-16,,,,3877,8,0.002063451,,,
Sep-16,,North Australian Cattle Company Pty Ltd,Townsville,Hai Phong,13,Sep-16,,,,2672,1,0.000374251,,,
Sep-16,,Emanuel Exports Pty Ltd,Fremantle,Hamad/Jebel Ali/Shuwaikh/Port Sultan Qaboos,24,Oct-16,,,,,,,70415,640,0.009088973
