Departure Date,,Exporter Licence Holder(s) (b),Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Aug-14,,Wellard Rural Exports Pty Ltd,Townsville,Lotus Port,13,Aug-14,,,,4013,2,0.00049838,,,
Aug-14,,Australian Rural Exports Pty Ltd,Portland,Lianyungang,18,Aug-14,,,,4000,3,0.00075,,,
Aug-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,10,Aug-14,,,,2008,0,0,,,
Aug-14,,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,22,Aug-14,,,,,,,66395,359,0.005407034
Aug-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,6,Aug-14,,,,2608,1,0.000383436,,,
Aug-14,,Wellard Rural Exports Pty Ltd,Darwin,Lotus/Subic Bay,11,Aug-14,,,,4992,4,0.000801282,,,
Aug-14,,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Aug-14,,,,960,3,0.003125,,,
Aug-14,,International Livestock Export Pty Ltd,Darwin,Jakarta,13,Aug-14,,,,3300,2,0.000606061,,,
Aug-14,,South East Asian Livestock Services Pty Ltd,Darwin,Haipong,9,Aug-14,427,3,0.007025761,984,2,0.00203252,,,
Aug-14,,International Livestock Export Pty Ltd,Broome,Jakarta,7,Aug-14,,,,2113,4,0.001893043,,,
Aug-14,,International Livestock Export Pty Ltd,Broome,Port Klang,9,Aug-14,,,,1675,1,0.000597015,,,
Aug-14,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,5,Aug-14,,,,3933,0,0,,,
Aug-14,,Emanuel Exports Pty Ltd/EMS Rural Exports Pty Ltd,Adelaide/Fremantle,Bahrain/Jebel Ali/Kuwait/Muscat,28,Sep-14,,,,,,,71186,771,0.010830781
Aug-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,6,Aug-14,,,,2818,3,0.001064585,,,
Aug-14,,Australian Rural Exports Pty Ltd,Darwin,Panjang,8,Aug-14,,,,2972,0,0,,,
Aug-14,,South East Asian Livestock Services Pty Ltd,Darwin,Bintulu/Pasir Gudang,13,Sep-14,,,,1658,1,0.000603136,,,
Aug-14,,Wellard Rural Exports Pty Ltd,Townsville,Lotus,15,Sep-14,,,,12917,16,0.001238678,,,
Aug-14,,Australian Rural Exports Pty Ltd,Wyndham,Belawan,8,Sep-14,,,,2831,1,0.000353232,,,
Aug-14,,Livestock Shipping Services Pty Ltd,Adelaide/Fremantle,Doha/Khalifa/Kuwait,28,Sep-14,,,,1017,0,0,77272,505,0.006535356
Aug-14,,Australian Rural Exports Pty Ltd/Frontier International Northern Pty Ltd,Darwin,Jakarta,8,Sep-14,,,,7070,0,0,,,
Aug-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,11,Sep-14,,,,1940,0,0,,,
Aug-14,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Sep-14,,,,3056,0,0,,,
Aug-14,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Broome/Fremantle,Jakarta/Panjang,16,Sep-14,,,,17449,24,0.001375437,,,
Aug-14,,North Australian Cattle Company Pty Ltd,Darwin,Panjang,7,Aug-14,,,,3094,0,0,,,
Aug-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta/Port Klang,11,Sep-14,,,,2581,3,0.00116234,,,
Aug-14,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo,14,Sep-14,,,,3785,2,0.000528402,,,
Sep-14,,International Livestock Export Pty Ltd,Darwin,Jakarta,9,Sep-14,,,,2622,1,0.000381388,,,
Sep-14,,Total Livestock Genetics,Portland,Tianjin,18,Sep-14,,,,4575,0,0,,,
Sep-14,,Australian Rural Exports Pty Ltd,Portland,Pasir Gudang,8,Sep-14,,,,3430,2,0.00058309,,,
Sep-14,,International Livestock Export Pty Ltd,Fremantle,Port Klang,13,Sep-14,,,,426,0,0,4604,80,0.017376195
Sep-14,,Australian Rural Exports Pty Ltd,Darwin,Panjang,9,Sep-14,,,,3150,1,0.00031746,,,
Sep-14,,South East Asian Livestock Services Pty Ltd,Darwin,Haipong,10,Sep-14,252,2,0.007936508,1153,2,0.001734605,,,
Sep-14,,Frontier International Northern Pty Ltd/North Australian Cattle Company Pty Ltd/Wellard Rural Exports Pty Ltd,Darwin,Panjang,10,Sep-14,,,,6797,0,0,,,
Sep-14,,North Australian Cattle Company Pty Ltd,Darwin,Ho Chi Minh City,10,Sep-14,,,,2148,3,0.001396648,,,
Sep-14,,South East Asian Livestock Services Pty Ltd,Darwin,Muara,9,Sep-14,423,1,0.002364066,1009,2,0.001982161,,,
Sep-14,,Australian Rural Exports Pty Ltd/Wellard Rural Exports Pty Ltd,Townsville,Jakarta/Panjang,13,Sep-14,,,,19618,2,0.000101947,,,
Sep-14,,Emanuel Exports Pty Ltd,Fremantle,Bahrain/Jebel Ali/Muscat,21,Oct-14,,,,,,,67395,434,0.006439647
Sep-14,,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,18,Oct-14,,,,960,0,0,,,
Sep-14,,Australian Rural Exports Pty Ltd/Frontier International Northern Pty Ltd,Darwin,Jakarta,9,Sep-14,,,,8873,17,0.001915925,,,
Sep-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,10,Sep-14,,,,2077,0,0,,,
Sep-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Jakarta,8,Sep-14,,,,2839,0,0,,,
Sep-14,,International Livestock Export Pty Ltd,Broome,Port Klang,12,Sep-14,,,,2383,7,0.002937474,,,
Sep-14,,Central Pacific Livestock Pty Ltd,Geelong,Jingtang,22,Oct-14,,,,6613,7,0.001058521,,,
Sep-14,,Livestock Shipping Services Pty Ltd,Fremantle,Adabiyah,24,Oct-14,,,,17085,26,0.001521803,15072,171,0.011345541
Sep-14,,Australian Rural Exports Pty Ltd,Darwin,Belawan,13,Oct-14,,,,2733,2,0.000731797,,,
Sep-14,,Wellard Rural Exports Pty Ltd,Darwin,Subic Bay,9,Oct-14,,,,4581,16,0.003492687,,,
Sep-14,,International Livestock Export Pty Ltd,Broome,Quy Nhon,12,Oct-14,,,,2139,3,0.001402525,,,
Sep-14,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Jakarta/Panjang,11,Nov-14,,,,17069,23,0.001347472,,,
Sep-14,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,10,Oct-14,,,,2099,0,0,,,
Sep-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Oct-14,,,,3354,5,0.001490757,,,
Sep-14,,Halleen Australasian Livestock Traders Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin,Cilacap /Jakarta,8,Oct-14,,,,1986,0,0,,,
Oct-14,,Elders International Australia Limited,Portland,Weifang,20,Oct-14,,,,2920,0,0,,,
Oct-14,*,South East Asian Livestock Services Pty Ltd,Darwin,Haiphong,11,Oct-14,359,7,0.019498607,1582,1,0.000632111,,,
Oct-14,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd,Broome/Townsville,Jakarta/Pahjang,17,Oct-14,,,,18109,29,0.001601414,,,
Oct-14,,Livestock Shipping Services Pty Ltd,Fremantle,Doha/Kuwait,21,Oct-14,,,,150,0,0,92733,771,0.008314192
Oct-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,9,Oct-14,,,,1981,0,0,,,
Oct-14,,Frontier International Northern Pty Ltd,Darwin,Haiphong,10,Oct-14,,,,2348,3,0.001277683,,,
Oct-14,*,Australian Rural Exports Pty Ltd,Darwin,Subic Bay,10,Oct-14,,,,2534,53,0.020915549,,,
Oct-14,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo,13,Oct-14,,,,3922,4,0.001019888,,,
Oct-14,,South East Asian Livestock Services Pty Ltd,Darwin,Belawan,10,Oct-14,,,,1999,0,0,,,
Oct-14,,International Livestock Export Pty Ltd,Broome,Port Klang,10,Oct-14,,,,1601,7,0.004372267,,,
Oct-14,,Wellard Rural Exports Pty Ltd,Townsville,Ho Chi Minh City,18,Nov-14,,,,5581,14,0.002508511,,,
Oct-14,,AH and R Schmidt Pty Ltd,Darwin,Eliat,20,Nov-14,,,,4315,3,0.000695249,,,
Oct-14,*,South East Asian Livestock Services Pty Ltd,Darwin,Haipong,10,Oct-14,297,2,0.006734007,979,11,0.011235955,,,
Oct-14,,International Livestock Export Pty Ltd,Fremantle,Port Louis,18,Nov-14,,,,1901,2,0.001052078,,,
Oct-14,,International Livestock Export Pty Ltd/North Australian Cattle Company Pty Ltd/South East Asian Livestock Services Pty Ltd,Darwin/Fremantle,Jakarta/Panjang/Quy Nhon,24,Nov-14,,,,16020,18,0.001123596,,,
Oct-14,,Emanuel Exports Pty Ltd/International Livestock Export Pty Ltd,Fremantle,Bahrain/Kuwait,18,Nov-14,,,,,,,79036,546,0.006908244
Oct-14,,Edwards Livestock Company Pty Ltd/Elders International Australia Limited,Brisbane,Shinmoji,17,Nov-14,,,,960,0,0,,,
Oct-14,,Livestock Shipping Services Pty Ltd,Adelaide/Fremantle,Doha/Khalifa/Kuwait,26,Nov-14,,,,1050,0,0,89759,386,0.004300404
Oct-14,,Australian Rural Exports Pty Ltd,Darwin,Jakarta,5,Oct-14,,,,3396,0,0,,,
Oct-14,,Landmark Global Exports Pty Ltd,Portland,Jingtang,34,Nov-14,,,,3016,12,0.00397878,,,
Oct-14,,South East Asian Livestock Services Pty Ltd,Karumba,Cilacap,11,Nov-14,,,,1700,1,0.000588235,,,
Oct-14,,Frontier International Northern Pty Ltd,Darwin,Jakarta,6,Nov-14,,,,3345,0,0,,,
Nov-14,,North Australian Cattle Company Pty Ltd,Wyndham,Ho Chi Minh City,10,Nov-14,,,,3169,2,0.000631114,,,
Nov-14,,Australian Rural Exports Pty Ltd,Darwin,Pasir Gudang,7,Nov-14,,,,2191,0,0,,,
Nov-14,,Australian Rural Exports Pty Ltd,Geraldton,Jakarta,7,Nov-14,,,,2371,5,0.002108815,,,
Nov-14,,South East Asian Livestock Services Pty Ltd,Darwin,Dong Nai,9,Nov-14,,,,1270,3,0.002362205,,,
Nov-14,,Australian Rural Exports Pty Ltd,Townsville,Panjang,9,Nov-14,,,,4297,0,0,,,
Nov-14,,Frontier International Northern Pty Ltd,Darwin,Haiphong,9,Nov-14,,,,2674,2,0.000747943,,,
Nov-14,,Halleen Australasian Livestock Traders Pty Ltd,Townsville,Jakarta,9,Nov-14,,,,2760,2,0.000724638,,,
Nov-14,,International Livestock Export Pty Ltd,Broome,Port Klang,9,Nov-14,,,,1743,0,0,,,
Nov-14,,South East Asian Livestock Services Pty Ltd,Darwin,Muara/Pasir Gudang,11,Nov-14,,,,1390,6,0.004316547,,,
Nov-14,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,7,Nov-14,,,,6845,6,0.000876552,,,
Nov-14,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta and Panjang,9,Nov-14,,,,16273,13,0.000798869,,,
Nov-14,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,8,Nov-14,,,,4088,0,0,,,
Nov-14,,Landmark Global Exports Pty Ltd,Geelong,Tianjin,15,Nov-14,,,,4500,7,0.001555556,,,
Nov-14,,Frontier International Northern Pty Ltd,Darwin,Panjang,6,Nov-14,,,,3331,0,0,,,
Nov-14,,Wellard Rural Exports Pty Ltd,Darwin,Jakarta,9,Nov-14,,,,6638,4,0.000602591,,,
Nov-14,,Australian Rural Exports Pty Ltd,Darwin,Belawan,7,Nov-14,,,,3990,1,0.000250627,,,
Nov-14,,South East Asian Livestock Services Pty Ltd,Karumba,Jakarta,9,Nov-14,,,,1984,1,0.000504032,,,
Nov-14,,Halleen Australasian Livestock Traders Pty Ltd,Darwin,Port Klang/Jakarta,10,Nov-14,,,,2453,2,0.000815328,,,
Nov-14,,Australian Rural Exports Pty Ltd,Geraldton,Belawan,12,Dec-14,,,,3006,2,0.000665336,,,
Nov-14,,North Australian Cattle Company Pty Ltd,Darwin,Jakarta,6,Nov-14,,,,3756,0,0,,,
Nov-14,,South East Asian Livestock Services Pty Ltd,Darwin,Dong Nai,9,Nov-14,,,,1297,0,0,,,
Nov-14,,Wellard Rural Exports Pty Ltd,Townsville,Cua Lo,11,Dec-14,,,,4069,0,0,,,
