Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Jun-14,,Darwin,Jakarta,7,Jun-14,,,,2588,4,0.0015,,,
Jun-14,,Wyndham,Panjang,7,Jun-14,,,,4067,1,0.0002,,,
Jun-14,,Broome,Pasir Gudang,6,Jun-14,,,,2749,3,0.0011,,,
Jun-14,,Broome,Jakarta/Port Klang,9,Jun-14,,,,2630,3,0.0011,,,
Jun-14,,Darwin,Panjang,6,Jun-14,,,,2952,0,0,,,
Jun-14,,Darwin,Panjang,8,Jun-14,,,,1901,0,0,,,
Jun-14,,Darwin,Kumai,7,Jun-14,,,,1974,0,0,,,
Jun-14,,Darwin,Cua Lo/Lotus Port,13,Jun-14,,,,4045,3,0.0007,,,
Jun-14,,Darwin,Indonesia,8,Jun-14,,,,2000,0,0,,,
Jun-14,,Wyndham,Subic Bay,8,Jun-14,,,,3165,1,0.0003,,,
Jun-14,,Broome,Panjang,6,Jun-14,,,,2867,2,0.0007,,,
Jun-14,,Darwin,Port Klang,7,Jun-14,,,,3559,0,0,,,
