,Year,Buffalo Load,Buffalo Loss,Buffalo Pct
0,14,4093.0,19.0,0.4642071829953579
1,15,5097.0,11.0,0.2158132234647832
2,16,4230.0,22.0,0.5200945626477541
3,17,7214.0,40.0,0.5544774050457444
4,18,7147.0,32.0,0.4477403106198405
5,19,9530.0,43.0,0.45120671563483733
