,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
100,Apr-14,,,,150.0,0.0,0.0,79383.0,446.0,0.0056,20
101,Apr-14,,,,15465.0,10.0,0.0006,,,,13
102,Apr-14,,,,5796.0,6.0,0.001,,,,15
103,Apr-14,,,,3962.0,0.0,0.0,,,,5
104,Apr-14,,,,9480.0,8.0,0.0008,59655.0,259.0,0.0043,25
105,Apr-14,,,,3931.0,0.0,0.0,,,,5
106,Apr-14,,,,1649.0,3.0,0.0018,,,,9
107,Apr-14,,,,2173.0,3.0,0.0014,,,,5
108,Apr-14,,,,2906.0,1.0,0.0003,,,,15
109,Apr-14,,,,2564.0,0.0,0.0,,,,6
110,Apr-14,,,,7021.0,0.0,0.0,,,,7
111,Apr-14,,,,1949.0,0.0,0.0,,,,6
112,Apr-14,,,,2058.0,1.0,0.0005,,,,6
113,Apr-14,,,,3732.0,0.0,0.0,,,,7
114,Apr-14,,,,2371.0,11.0,0.0046,,,,20
115,Apr-14,,,,,,,77307.0,375.0,0.0049,23
116,Apr-14,,,,3574.0,0.0,0.0,,,,6
117,Apr-14,336.0,0.0,0.0,2063.0,3.0,0.0015,,,,10
118,Apr-14,,,,1909.0,0.0,0.0,,,,6
119,Apr-14,,,,2959.0,0.0,0.0,,,,16
120,Apr-14,,,,1520.0,0.0,0.0,,,,6
121,Apr-14,,,,3000.0,2.0,0.0007,,,,18
122,Apr-14,,,,1941.0,1.0,0.0005,,,,9
123,Apr-14,,,,1080.0,3.0,0.0028,,,,17
124,Apr-14,,,,2681.0,1.0,0.0004,,,,7
125,Apr-14,,,,14230.0,10.0,0.0007,,,,18
126,Apr-14,,,,2592.0,1.0,0.0004,,,,6
127,Apr-14,,,,4047.0,0.0,0.0,,,,6
128,Apr-14,,,,3810.0,2.0,0.0005,,,,9
129,Apr-14,,,,6962.0,14.0,0.002,,,,23
130,Apr-14,,,,3037.0,4.0,0.0013,,,,10
131,Apr-14,,,,6550.0,5.0,0.0008,,,,10
132,Apr-14,,,,22138.0,127.0,0.0057,,,,31
133,Apr-14,,,,2940.0,4.0,0.0014,,,,20
134,Apr-14,,,,3569.0,3.0,0.0008,,,,19
135,Apr-14,,,,1815.0,0.0,0.0,,,,7
136,Apr-14,,,,13785.0,64.0,0.0046,23906.0,161.0,0.0067,36
137,May-14,,,,6925.0,2.0,0.0003,,,,4
138,May-14,,,,1378.0,7.0,0.0051,,,,10
139,May-14,,,,2648.0,0.0,0.0,,,,6
140,May-14,,,,3223.0,0.0,0.0,,,,6
141,May-14,,,,2880.0,0.0,0.0,,,,5
142,May-14,176.0,2.0,0.0114,1255.0,1.0,0.0008,,,,9
143,May-14,,,,1217.0,0.0,0.0,,,,23
