Departure Date,,Loading Port(s),Destination Port(s),Duration (days),Discharge Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct
Jun-19,,Townsville,Long An/Thi Vai,13,Jun-19,,,,4484,3,0.0007,,,
Jun-19,,Darwin,Belawan,7,Jun-19,294,1,0.0034,3052,1,0.0003,,,
Jun-19,,Townsville,Panjang,8,Jun-19,,,,3667,0,0,,,
Jun-19,,Darwin,Belawan,8,Jun-19,,,,2070,0,0,,,
Jun-19,,Darwin,Phu My,6,Jun-19,,,,2643,1,0.0004,,,
Jun-19,,Darwin,Subic Bay,7,Jun-19,,,,2488,3,0.0012,,,
Jun-19,,Townsville,Jakarta/Panjang,10,Jun-19,,,,5306,4,0.0008,,,
Jun-19,,Wyndham,Panjang,6,Jun-19,,,,2626,4,0.0015,,,
Jun-19,,Darwin,Jakarta,6,Jun-19,,,,2872,0,0,,,
Jun-19,,Townsville,Hai Phong,11,Jun-19,,,,2385,0,0,,,
Jun-19,,Darwin,Panjang,7,Jun-19,,,,3123,1,0.0003,,,
Jun-19,,Broome,Hon La,9,Jun-19,,,,3026,2,0.0007,,,
Jun-19,,Darwin,Muara,8,Jun-19,70,0,0,961,0,0,,,
Jun-19,,Darwin,Jakarta,5,Jun-19,,,,1854,1,0,,,
Jun-19,,Darwin,Hai Phong,9,Jun-19,180,0,0,2339,1,0.0004,,,
